Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Food storage material (product.metafields.shopify.food-storage-material),Shape (product.metafields.shopify.shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61GSqFfywxL.jpg?v=1733698396,15,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/91SK215fd8L.jpg?v=1733698396,16,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61FXwdMSasL.jpg?v=1733698396,17,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/71yWJP5ek2L.jpg?v=1733698396,18,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/819AZt-QlDL.jpg?v=1733698396,19,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/81Gnjb8T9aL.jpg?v=1733698396,20,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61DKlOWizUL.jpg?v=1733698396,21,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/612Avj9a4NL.jpg?v=1733698396,22,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/71-Mxv2whWL.jpg?v=1733698396,23,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/91e1pNhwbuL.jpg?v=1733698396,24,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
